date,project_id,num_transactions,total_vol_in_usd
2024-04-15,0,1.40,1.40
2024-04-15,0,8.43,8.43
2024-04-15,0,6.01,6.01
2024-04-15,0,6.01,6.01
2024-04-15,0,1.46,1.46
2024-04-15,0,1.11,1.11
2024-04-15,0,0.72,0.72
2024-04-15,0,3.42,3.42
2024-04-15,0,1.15,1.15
2024-04-15,0,0.06,0.06
2024-04-15,0,3.52,3.52
2024-04-15,0,0.62,0.62
2024-04-15,0,5.78,5.78
2024-04-15,0,87.20,87.20
2024-04-15,0,6.21,6.21
2024-04-15,0,4.52,4.52
2024-04-15,0,12.10,12.10
2024-04-15,0,8.89,8.89
2024-04-15,0,8.82,8.82
2024-04-15,4974,15.24,15.24
2024-04-15,0,0.17,0.17
2024-04-15,0,9.58,9.58
2024-04-15,0,2.84,2.84
2024-04-15,0,3.50,3.50
2024-04-15,0,2.88,2.88
2024-04-15,0,8.70,8.70
2024-04-16,0,71.97,71.97
2024-04-16,1609,2090000000000000000.00,2090000000000000000.00
2024-04-16,0,11.65,11.65
2024-04-16,0,29.07,29.07
2024-04-16,0,12.53,12.53
2024-04-16,4974,0.45,0.45
2024-04-16,4974,1.31,1.31
2024-04-16,4974,1.63,1.63
2024-04-16,4974,1.87,1.87
2024-04-16,4974,1.69,1.69
2024-04-16,4974,1.33,1.33
2024-04-16,4974,0.83,0.83
2024-04-16,4974,1.51,1.51
2024-04-16,4974,7.06,7.06
2024-04-16,4974,0.03,0.03
2024-04-16,4974,2.09,2.09
2024-04-16,4974,4.47,4.47
2024-04-16,4974,4.00,4.00
2024-04-16,0,9.00,9.00
2024-04-16,0,9.03,9.03
2024-04-16,4974,29997000000000000000.00,29997000000000000000.00
2024-04-16,1609,722000000000000000.00,722000000000000000.00
2024-04-16,1609,800000000000000000.00,800000000000000000.00
2024-04-16,4974,1.50,1.50
2024-04-16,4974,2.80,2.80
2024-04-16,4974,0.17,0.17
2024-04-16,4974,0.17,0.17
2024-04-16,4974,0.42,0.42
2024-04-16,4974,1.63,1.63
2024-04-16,4974,3.38,3.38
2024-04-16,4974,3.54,3.54
2024-04-16,4974,0.53,0.53
2024-04-16,4974,0.69,0.69
2024-04-16,4974,0.26,0.26
2024-04-16,4974,0.34,0.34
2024-04-16,4974,0.21,0.21
2024-04-16,1609,800000000000000000.00,800000000000000000.00
2024-04-16,4974,0.10,0.10
2024-04-16,4974,0.03,0.03
2024-04-16,4974,0.48,0.48
2024-04-16,4974,0.49,0.49
2024-04-16,0,33.00,33.00
2024-04-16,0,0.95,0.95
2024-04-16,0,4.70,4.70
2024-04-16,0,15.43,15.43
2024-04-16,0,8.83,8.83
2024-04-16,0,15.67,15.67
2024-04-16,0,0.43,0.43
2024-04-16,4974,1.65,1.65
2024-04-16,1609,1900000000000000000.00,1900000000000000000.00
2024-04-16,1609,750500000000000000.00,750500000000000000.00
2024-04-16,1609,750500000000000000.00,750500000000000000.00
2024-04-16,0,2.66,2.66
2024-04-16,0,0.88,0.88
2024-04-16,4974,2.11,2.11
2024-04-16,4974,0.20,0.20
2024-04-16,4974,0.45,0.45
2024-04-16,4974,0.52,0.52
2024-04-16,4974,1.97,1.97
2024-04-16,4974,2.92,2.92
2024-04-16,4974,2.99,2.99
2024-04-16,4974,6.51,6.51
2024-04-16,0,0.07,0.07
2024-04-16,0,0.13,0.13
2024-04-16,0,0.20,0.20
2024-04-16,0,0.11,0.11
2024-04-16,0,0.14,0.14
2024-04-16,0,0.11,0.11
2024-04-16,0,0.14,0.14
2024-04-16,0,0.19,0.19
2024-04-16,0,0.12,0.12
2024-04-16,0,0.11,0.11
2024-04-16,0,0.10,0.10
2024-04-16,0,0.21,0.21
2024-04-16,0,0.05,0.05
2024-04-16,0,0.05,0.05
2024-04-16,0,0.05,0.05
2024-04-16,0,0.06,0.06
2024-04-16,0,0.06,0.06
2024-04-16,0,0.05,0.05
